dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats20_snr3_N500000,4,torch_MP,1.7169189999985974,0.745257740578622,2.3399370840368716,1.8666547536849976,False
feats20_snr3_N500000,5,torch_MP,2.27649739998742,0.7431752261069249,2.3472164713270574,1.8712482452392578,False
feats20_snr3_N500000,6,torch_MP,1.3463429000112228,0.7440151823532233,2.3450505018184793,1.870302677154541,False
feats20_snr3_N500000,7,torch_MP,1.3897588000108954,0.7455398123235291,2.3381322036383385,1.8667047023773193,False
feats20_snr3_N500000,8,torch_MP,1.6357710000011139,0.7433689567009543,2.347772833393742,1.8737832307815552,False
feats20_snr3_N500000,9,torch_MP,1.3747823000012431,0.7458028090561009,2.33752836322406,1.8638654947280884,False
feats5_snr10_N100000,0,torch_MP,0.23836479999590665,0.9078651917189623,0.953658501822,0.7611581087112427,False
feats5_snr10_N100000,1,torch_MP,0.10474249999970198,0.8881517258871506,1.0558856516287598,0.8407979607582092,False
feats5_snr10_N100000,2,torch_MP,0.006141699996078387,,,,True
feats5_snr10_N100000,3,torch_MP,0.0052069000084884465,,,,True
feats5_snr10_N100000,4,torch_MP,0.014398100000107661,,,,True
feats5_snr10_N100000,5,torch_MP,0.34417269998812117,0.907484935663574,0.9573964259151655,0.7637767195701599,False
feats5_snr10_N100000,6,torch_MP,0.23826339998049662,0.9088149675036467,0.9511039129961025,0.7587504982948303,False
feats5_snr10_N100000,7,torch_MP,0.005473400000482798,,,,True
feats5_snr10_N100000,8,torch_MP,0.12951570001314394,0.908388632449855,0.9556897784994205,0.7621954083442688,False
feats5_snr10_N100000,9,torch_MP,0.4313937000115402,0.9077468646661412,0.9529329638025092,0.7607832551002502,False
feats5_snr10_N10000,0,torch_MP,0.012247899983776733,,,,True
feats5_snr10_N10000,1,torch_MP,0.27377770000020973,0.9057821614006113,0.7693997575757027,0.6127200126647949,False
feats5_snr10_N10000,2,torch_MP,0.004804299998795614,,,,True
feats5_snr10_N10000,3,torch_MP,0.03533779998542741,-0.30477147172535224,2.8570916069066365,2.0939149856567383,False
feats5_snr10_N10000,4,torch_MP,0.1535069000092335,0.9019317841071532,0.7747403740544919,0.6129422783851624,False
feats5_snr10_N10000,5,torch_MP,0.00519749999511987,,,,True
feats5_snr10_N10000,6,torch_MP,0.09433190000709146,0.909070620118593,0.759930904033205,0.6059030890464783,False
feats5_snr10_N10000,7,torch_MP,0.04335419999551959,0.008539720134444817,2.4842934265179966,1.9706978797912598,False
feats5_snr10_N10000,8,torch_MP,0.005400200025178492,,,,True
feats5_snr10_N10000,9,torch_MP,0.005810300004668534,,,,True
feats5_snr10_N500000,0,torch_MP,0.01431230001617223,,,,True
feats5_snr10_N500000,1,torch_MP,0.5239966999797616,0.9071462060995245,0.9538469550771874,0.7614913582801819,False
feats5_snr10_N500000,2,torch_MP,0.013757799984887242,,,,True
feats5_snr10_N500000,3,torch_MP,0.017597600002773106,,,,True
feats5_snr10_N500000,4,torch_MP,0.017737499991199,,,,True
feats5_snr10_N500000,5,torch_MP,0.5079113999963738,0.9071140785534371,0.9564075228030282,0.7632709741592407,False
feats5_snr10_N500000,6,torch_MP,1.0326518999936525,0.9080711694764905,0.9500113737529724,0.7573642730712891,False
feats5_snr10_N500000,7,torch_MP,1.1940991999872494,0.9082990425909474,0.94892630762076,0.7573926448822021,False
feats5_snr10_N500000,8,torch_MP,1.6937408999947365,0.9054472609304522,0.9639244796901513,0.7686187028884888,False
feats5_snr10_N500000,9,torch_MP,0.12203830000362359,-0.26650243815179264,3.5328717853982456,2.677372455596924,False
feats5_snr3_N100000,0,torch_MP,0.3187737000116613,0.7489880838074455,1.6735217104399096,1.332007646560669,False
feats5_snr3_N100000,1,torch_MP,0.32254580000881106,0.7493138557689907,1.6674929080795167,1.3275290727615356,False
feats5_snr3_N100000,2,torch_MP,0.004607199982274324,,,,True
feats5_snr3_N100000,3,torch_MP,0.09893080001347698,0.7467585875341147,1.676018189083445,1.3365050554275513,False
feats5_snr3_N100000,4,torch_MP,0.3482871000014711,0.7405124094103099,1.6905962477969676,1.3467512130737305,False
feats5_snr3_N100000,5,torch_MP,0.11698009999236092,0.7489504099044818,1.6706140344147844,1.3332643508911133,False
feats5_snr3_N100000,6,torch_MP,0.005677299981471151,,,,True
