dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats5_snr10_N10000,5,10,10000,1,LR,0.002310900017619133,0.8800597272002209,0.8680963653786813,0.6845893606507508
feats5_snr10_N10000,5,10,10000,2,LR,0.0008168000495061278,0.8790788566749064,0.8671655665497392,0.6834612929297065
feats5_snr10_N10000,5,10,10000,3,LR,0.0008747000247240067,0.8850460238060406,0.8480437396435866,0.6697604959724166
feats5_snr10_N10000,5,10,10000,4,LR,0.001805500010959804,0.8781668218373546,0.8635240066464204,0.6792698376497179
feats5_snr10_N10000,5,10,10000,5,LR,0.0008635999402031302,0.8794078056985984,0.8652647045629408,0.6850405646445511
feats5_snr10_N10000,5,10,10000,6,LR,0.0007936001056805253,0.8868152413148175,0.8478480011472699,0.6699222202555019
feats5_snr10_N10000,5,10,10000,7,LR,0.0007313999813050032,0.882082128125897,0.8567531709495885,0.6728878263823382
feats5_snr10_N10000,5,10,10000,8,LR,0.0015359000535681844,0.8821986562699797,0.8581836407513819,0.6742345953426934
feats5_snr10_N10000,5,10,10000,9,LR,0.0009833000367507339,0.8826100055993514,0.8611242070024692,0.6771071667144595
feats5_snr10_N500000,5,10,500000,0,LR,0.04435670003294945,0.892859250381357,1.0274092094316607,0.8154067927821449
feats5_snr10_N500000,5,10,500000,1,LR,0.04235330002848059,0.8925555326557238,1.0260554781139095,0.8153654467051189
feats5_snr10_N500000,5,10,500000,2,LR,0.0459366999566555,0.8931386975277645,1.0256433539697722,0.8144835946111018
feats5_snr10_N500000,5,10,500000,3,LR,0.041750899981707335,0.8933003771221891,1.0262158119598586,0.8148500677746785
feats5_snr10_N500000,5,10,500000,4,LR,0.04085530003067106,0.8933572783933257,1.02498577596389,0.8139568257704878
feats5_snr10_N500000,5,10,500000,5,LR,0.043021999998018146,0.8932599987244154,1.0252528938171999,0.8146472621105054
feats5_snr10_N500000,5,10,500000,6,LR,0.03942440007813275,0.8924326297230927,1.0276446040727003,0.8153059054576414
feats5_snr10_N500000,5,10,500000,7,LR,0.04814780002925545,0.8924958721390496,1.0274446201163387,0.8158966710843786
feats5_snr10_N500000,5,10,500000,8,LR,0.04445889999624342,0.8922695696726526,1.0289046246567344,0.8170747017688825
feats5_snr10_N500000,5,10,500000,9,LR,0.0398524000775069,0.8928067770095167,1.0277997589722792,0.8164413519409599
